steps,episode,reward,epsilon,loss
500,0,-48.20,0.9998,0.000889
3000,5,-47.70,0.9985,0.111377
5500,10,-1547.50,0.9973,0.084496
8000,15,-47.90,0.9960,0.261009
10399,20,-47.40,0.9948,0.274463
12899,25,-2207.30,0.9936,0.202095
15399,30,-47.20,0.9924,0.215558
17899,35,-47.40,0.9911,0.176007
20399,40,-348.60,0.9899,0.133632
22899,45,-1928.10,0.9886,0.206177
25399,50,-369.00,0.9874,0.171250
27899,55,-1807.90,0.9862,0.117579
30399,60,-227.80,0.9849,0.060207
32899,65,-47.90,0.9837,0.155424
35399,70,-1226.70,0.9824,0.109943
37899,75,-47.40,0.9812,0.181647
40083,80,194.30,0.9801,0.084108
42583,85,-47.20,0.9789,0.137786
45083,90,-47.80,0.9776,0.095361
47583,95,-2676.80,0.9764,0.139304
50083,100,-2926.70,0.9752,0.093071
52583,105,-3488.70,0.9739,0.153573
55083,110,-2086.70,0.9727,0.214294
57583,115,-48.40,0.9714,0.138033
60083,120,-127.20,0.9702,0.122540
62583,125,-1668.30,0.9690,0.097174
65083,130,-49.00,0.9677,0.160476
67583,135,-1168.50,0.9665,0.154447
70083,140,-2766.80,0.9652,0.193675
72583,145,-48.50,0.9640,0.187812
75083,150,-1806.80,0.9628,0.173549
77583,155,-1287.00,0.9615,0.131286
80083,160,-1107.10,0.9603,0.176527
82583,165,-377.00,0.9590,0.035876
85083,170,-628.30,0.9578,0.114533
87583,175,-1827.50,0.9566,0.033360
90083,180,-46.70,0.9553,0.166907
92403,185,-47.20,0.9542,0.274456
94903,190,-47.20,0.9529,0.140833
97403,195,-47.50,0.9517,0.109639
99903,200,-47.10,0.9504,0.160305
102144,205,188.20,0.9493,0.085755
104490,210,-207.30,0.9482,0.068456
106990,215,-1007.40,0.9469,0.172360
109095,220,-2247.40,0.9459,0.242938
111595,225,-1848.30,0.9446,0.063620
114095,230,-888.00,0.9434,0.069053
116595,235,-886.70,0.9422,0.164984
118867,240,-387.10,0.9410,0.103010
121367,245,-588.20,0.9398,0.112001
123867,250,-47.50,0.9386,0.117366
126055,255,-647.00,0.9375,0.124585
127855,260,-3089.30,0.9366,0.070786
130355,265,-47.10,0.9353,0.064237
132855,270,-1227.10,0.9341,0.289543
135355,275,-47.40,0.9329,0.086619
137855,280,-2048.10,0.9316,0.079205
140355,285,-867.80,0.9304,0.175859
142742,290,-46.70,0.9292,0.069995
145242,295,-1028.60,0.9280,0.072386
147652,300,170.70,0.9268,0.038493
150152,305,-47.20,0.9255,0.098480
152652,310,-1508.00,0.9243,0.070476
155152,315,-46.90,0.9230,0.112033
157652,320,-708.70,0.9218,0.141042
160152,325,-427.20,0.9206,0.067079
162652,330,-627.60,0.9193,0.075401
165152,335,-1306.70,0.9181,0.145264
167652,340,-2157.30,0.9168,0.208373
170152,345,-158.40,0.9156,0.205079
172193,350,206.90,0.9146,0.052360
174693,355,-2347.10,0.9134,0.111070
177193,360,-2107.00,0.9121,0.177586
179693,365,-1388.40,0.9109,0.116577
182124,370,-148.40,0.9097,0.139401
184624,375,-627.20,0.9084,0.134007
187124,380,-38.10,0.9072,0.118041
189624,385,-1598.70,0.9059,0.097462
192124,390,-366.70,0.9047,0.098512
194624,395,-808.40,0.9035,0.037583
197071,400,-47.70,0.9023,0.157507
199571,405,-836.90,0.9010,0.131523
202071,410,-986.90,0.8998,0.133249
204571,415,-3826.70,0.8985,0.247945
207071,420,-1608.70,0.8973,0.039607
209571,425,-2047.20,0.8961,0.179205
212071,430,-36.80,0.8948,0.117034
214571,435,-47.00,0.8936,0.206773
217071,440,-807.50,0.8923,0.332072
219571,445,-2386.90,0.8911,0.133505
222071,450,-2607.70,0.8899,0.151743
224571,455,-436.90,0.8886,0.249318
227071,460,-497.40,0.8874,0.100995
229571,465,-1327.00,0.8861,0.189581
232071,470,-1548.20,0.8849,0.205136
234571,475,-3547.10,0.8837,0.191848
237071,480,-1698.70,0.8824,0.264728
239398,485,-2007.90,0.8813,0.208490
241898,490,-2846.70,0.8800,0.228869
244320,495,-457.20,0.8788,0.096931
246820,500,-2107.30,0.8776,0.132056
249320,505,-226.70,0.8763,0.156918
251573,510,187.70,0.8752,0.073773
254073,515,-1726.90,0.8740,0.075117
256399,520,-126.70,0.8728,0.106655
258899,525,-37.20,0.8716,0.100331
261399,530,-1606.70,0.8703,0.076860
263899,535,-1747.50,0.8691,0.121819
266399,540,-2028.00,0.8679,0.109315
268899,545,-48.40,0.8666,0.129147
271399,550,-1327.70,0.8654,0.151078
273899,555,-46.90,0.8641,0.040581
276399,560,-986.70,0.8629,0.051312
278899,565,-47.20,0.8617,0.137415
281399,570,-2066.90,0.8604,0.187448
283899,575,-1447.10,0.8592,0.016750
286399,580,-927.40,0.8579,0.118066
288899,585,-37.00,0.8567,0.161211
291234,590,179.40,0.8555,0.086109
293734,595,-46.70,0.8543,0.088923
296234,600,-1907.10,0.8531,0.095529
298310,605,-2826.70,0.8520,0.323569
300810,610,-2486.70,0.8508,0.104714
303310,615,-988.30,0.8496,0.289366
305647,620,179.50,0.8484,0.120201
308147,625,-817.00,0.8472,0.095395
310647,630,-2166.90,0.8459,0.134032
312802,635,-47.20,0.8449,0.023695
314883,640,205.10,0.8438,0.079169
317383,645,-3187.10,0.8426,0.040005
319883,650,-806.70,0.8413,0.062223
322383,655,-1307.00,0.8401,0.060935
324588,660,192.50,0.8390,0.084381
327088,665,-338.20,0.8378,0.230256
329588,670,-3186.90,0.8365,0.021617
332088,675,-727.60,0.8353,0.099337
334588,680,-2408.30,0.8340,0.146652
336660,685,163.80,0.8330,0.186827
339032,690,-2388.50,0.8318,0.068054
341532,695,-46.90,0.8306,0.059891
344002,700,-947.40,0.8294,0.048733
346315,705,-46.70,0.8282,0.191164
348701,710,-1888.40,0.8270,0.097768
351031,715,-2086.70,0.8259,0.111986
353531,720,-1028.90,0.8246,0.134657
356031,725,-286.70,0.8234,0.125585
358531,730,-488.30,0.8222,0.257668
360813,735,-946.80,0.8210,0.134918
363313,740,-1006.70,0.8198,0.080221
365636,745,179.00,0.8186,0.154794
368136,750,-1006.80,0.8174,0.038685
370636,755,-667.00,0.8162,0.066110
372843,760,-2207.40,0.8151,0.136036
375311,765,-36.80,0.8138,0.129065
377811,770,-2187.10,0.8126,0.045179
379904,775,-2247.30,0.8116,0.145275
382404,780,-1708.50,0.8103,0.141157
384904,785,-2787.90,0.8091,0.133878
387404,790,-577.90,0.8078,0.259893
389747,795,-3166.70,0.8067,0.111215
392053,800,-626.70,0.8055,0.077831
394553,805,-3628.50,0.8043,0.134133
397053,810,-1986.90,0.8031,0.099750
399553,815,-547.10,0.8018,0.105782
401955,820,-1708.70,0.8006,0.095013
404206,825,-2028.30,0.7995,0.122382
406706,830,-1846.90,0.7983,0.289133
409206,835,-1466.70,0.7970,0.247635
411706,840,-1788.10,0.7958,0.090639
414206,845,-1606.90,0.7946,0.171996
416706,850,-887.20,0.7933,0.118539
418764,855,-707.40,0.7923,0.137599
421152,860,-3556.90,0.7911,0.103353
423593,865,-1957.00,0.7899,0.117552
426093,870,-2506.70,0.7887,0.055124
428593,875,-3426.90,0.7874,0.087813
431093,880,-1407.60,0.7862,0.086817
433593,885,-37.20,0.7849,0.099817
436028,890,-1430.50,0.7837,0.139913
438213,895,-2628.00,0.7826,0.114292
440713,900,-1846.70,0.7814,0.138877
442990,905,-2947.10,0.7803,0.112360
445490,910,-47.20,0.7790,0.109470
447866,915,-1906.70,0.7779,0.117167
450304,920,163.50,0.7766,0.141056
452804,925,-2046.90,0.7754,0.112176
455304,930,-2868.80,0.7742,0.219485
456961,935,200.20,0.7733,0.224019
459461,940,-2556.80,0.7721,0.081765
461961,945,-2966.70,0.7709,0.118817
464154,950,-3968.70,0.7698,0.143625
466654,955,-46.70,0.7685,0.289625
469154,960,-246.90,0.7673,0.062357
471654,965,-1447.20,0.7661,0.100569
474154,970,-848.50,0.7648,0.087257
476651,975,-3368.10,0.7636,0.252487
479151,980,-3707.40,0.7623,0.124681
481434,985,184.40,0.7612,0.072959
483934,990,-1628.60,0.7600,0.213823
486023,995,181.40,0.7589,0.100784
488523,0,-1386.70,0.7577,0.101255
491023,5,-1587.90,0.7565,0.190970
493523,10,-2206.70,0.7552,0.163251
496023,15,-1196.90,0.7540,0.042405
