steps,episode,reward,epsilon,loss
500,0,-482.00,0.9995,0.086350
3000,5,-12486.00,0.9970,25.115601
5500,10,-25684.00,0.9945,18.673798
8000,15,-8867.00,0.9921,17.438904
10419,20,-21884.00,0.9897,13.417293
12773,25,-20884.00,0.9873,12.287355
15273,30,-474.00,0.9848,13.097031
17773,35,-7085.00,0.9824,25.802126
20187,40,1702.00,0.9800,53.965305
22687,45,-1484.00,0.9775,46.582428
25187,50,-373.00,0.9750,82.434120
27687,55,-471.00,0.9725,50.614964
30187,60,-32078.00,0.9701,0.440975
32687,65,-4583.00,0.9676,60.731716
35187,70,-10472.00,0.9651,162.040558
37431,75,-8867.00,0.9629,199.866455
39931,80,-12867.00,0.9604,164.718109
42431,85,-483.00,0.9579,211.676270
44931,90,-469.00,0.9554,92.842613
47431,95,-472.00,0.9529,71.767509
49931,100,-472.00,0.9505,83.598633
52317,105,-15084.00,0.9481,22.535610
54817,110,-6284.00,0.9456,139.729126
57317,115,-371.00,0.9431,136.064804
59731,120,-38887.00,0.9407,161.887985
61962,125,-467.00,0.9385,87.610191
64462,130,-1267.00,0.9361,259.723816
66962,135,-375.00,0.9336,54.841618
69462,140,-15072.00,0.9311,115.921967
71579,145,-475.00,0.9290,135.436432
74079,150,-472.00,0.9265,38.526352
76579,155,-12669.00,0.9240,226.834381
79079,160,-3770.00,0.9216,209.277969
81579,165,-1876.00,0.9191,163.051834
84079,170,-7067.00,0.9166,205.965729
86579,175,-9084.00,0.9141,133.368103
88685,180,-382.00,0.9120,57.724251
91185,185,-20467.00,0.9095,34.634647
93685,190,-472.00,0.9071,178.572281
96185,195,-472.00,0.9046,99.278870
98685,200,-472.00,0.9021,115.524933
100815,205,-18876.00,0.9000,182.358780
103315,210,-474.00,0.8975,150.326538
105815,215,-472.00,0.8950,0.580637
108208,220,-471.00,0.8927,237.574783
110708,225,-483.00,0.8902,89.828568
113208,230,-467.00,0.8877,217.130325
115708,235,-473.00,0.8852,63.243721
118208,240,-8571.00,0.8827,68.252190
120708,245,-472.00,0.8803,52.314629
123208,250,-16691.00,0.8778,153.756744
