steps,episode,reward,epsilon,loss
500,0,-114.90,0.9998,0.029550
3000,5,-46.90,0.9985,0.052535
5500,10,-47.60,0.9973,0.077663
8000,15,-86.20,0.9960,0.112851
10500,20,-46.30,0.9948,0.034688
13000,25,-66.60,0.9936,0.048711
15500,30,-134.80,0.9923,0.100262
18000,35,-48.70,0.9911,0.323996
20500,40,-70.10,0.9898,0.109655
23000,45,-46.70,0.9886,0.160584
25500,50,-48.70,0.9874,0.160881
28000,55,-55.00,0.9861,0.164343
30500,60,-112.10,0.9849,0.135812
32876,65,-47.30,0.9837,0.144762
35376,70,-48.90,0.9825,0.162012
37876,75,-93.20,0.9812,0.296122
40376,80,-143.40,0.9800,0.165839
42876,85,-105.50,0.9787,0.075592
45376,90,-57.80,0.9775,0.103292
47876,95,-111.30,0.9763,0.086141
50126,100,-116.50,0.9751,0.096907
52626,105,-57.50,0.9739,0.116918
55126,110,-49.20,0.9727,0.096622
57626,115,-73.50,0.9714,0.162053
60126,120,-58.00,0.9702,0.134151
62626,125,-91.30,0.9689,0.136052
65126,130,-158.40,0.9677,0.142071
67626,135,-67.80,0.9665,0.165635
70126,140,-70.50,0.9652,0.136508
72626,145,-47.40,0.9640,0.109943
75126,150,-52.10,0.9627,0.065931
77626,155,-47.90,0.9615,0.078211
80126,160,-132.00,0.9603,0.077497
82626,165,-55.80,0.9590,0.097693
85126,170,-47.50,0.9578,0.098871
87626,175,-47.60,0.9565,0.063237
90126,180,-74.50,0.9553,0.061987
92626,185,-73.30,0.9541,0.043411
95126,190,-45.80,0.9528,0.072189
97626,195,-47.10,0.9516,0.045735
99955,200,-48.10,0.9504,0.071707
102455,205,-204.70,0.9492,0.034536
104955,210,-77.00,0.9479,0.025873
107455,215,-95.10,0.9467,0.066637
109955,220,-60.20,0.9455,0.034684
112455,225,-89.50,0.9442,0.031984
114955,230,-46.70,0.9430,0.061610
117455,235,-64.60,0.9417,0.052876
119955,240,-64.10,0.9405,0.032405
122455,245,-49.00,0.9393,0.039468
124955,250,-74.00,0.9380,0.058489
127455,255,-72.20,0.9368,0.040692
129955,260,-47.70,0.9355,0.060066
132455,265,-177.90,0.9343,0.112263
134955,270,-47.60,0.9331,0.054169
137455,275,-142.20,0.9318,0.051923
139897,280,-39.90,0.9306,0.034473
142397,285,-47.60,0.9294,0.113447
144897,290,-47.60,0.9281,0.064722
147397,295,-47.60,0.9269,0.067642
149734,300,-47.60,0.9257,0.053670
152234,305,-48.40,0.9245,0.069062
154734,310,-67.40,0.9233,0.096787
157234,315,-254.50,0.9220,0.038577
159734,320,-48.10,0.9208,0.078979
162234,325,-156.90,0.9195,0.068605
164734,330,-93.20,0.9183,0.087232
167234,335,-54.60,0.9171,0.108170
169734,340,-47.60,0.9158,0.054638
172234,345,-48.80,0.9146,0.066300
174734,350,-47.80,0.9133,0.065457
177234,355,-54.00,0.9121,0.071116
179734,360,-47.40,0.9109,0.091323
182234,365,-47.20,0.9096,0.089914
184734,370,-84.10,0.9084,0.036594
187234,375,-86.30,0.9071,0.040830
189534,380,-47.30,0.9060,0.087501
192034,385,-93.70,0.9048,0.044823
194534,390,-48.70,0.9035,0.071620
197034,395,-47.10,0.9023,0.043985
199534,400,-87.40,0.9010,0.097016
202034,405,-63.80,0.8998,0.057313
204534,410,-48.20,0.8986,0.113127
207034,415,-60.20,0.8973,0.067023
209534,420,-112.70,0.8961,0.117880
212034,425,-155.20,0.8948,0.037882
214534,430,-96.80,0.8936,0.011980
216786,435,-105.20,0.8925,0.076384
219286,440,-152.20,0.8912,0.069326
221460,445,-68.80,0.8902,0.089721
223960,450,-66.20,0.8889,0.122106
226460,455,-47.60,0.8877,0.077953
228938,460,-114.50,0.8864,0.046333
231438,465,-105.10,0.8852,0.063892
233938,470,-136.80,0.8840,0.050550
236438,475,-110.70,0.8827,0.027651
238938,480,-49.50,0.8815,0.026130
241438,485,-45.90,0.8802,0.042083
243852,490,-48.00,0.8790,0.037910
246352,495,-152.00,0.8778,0.023120
248852,500,-48.10,0.8766,0.029931
251352,505,-45.80,0.8753,0.041785
253673,510,-144.70,0.8742,0.020759
256173,515,-49.30,0.8729,0.014324
258673,520,-49.70,0.8717,0.016922
261173,525,-48.00,0.8705,0.009167
263673,530,-46.10,0.8692,0.006554
266173,535,-48.60,0.8680,0.015687
268673,540,-80.40,0.8667,0.027200
271173,545,-81.90,0.8655,0.011517
273673,550,-46.70,0.8643,0.010465
276173,555,-159.20,0.8630,0.017393
278673,560,-83.50,0.8618,0.025369
281097,565,-87.20,0.8606,0.006395
283423,570,-89.40,0.8594,0.015268
285923,575,-112.60,0.8582,0.029351
288423,580,-91.70,0.8569,0.021215
290923,585,-65.00,0.8557,0.025113
293423,590,-47.70,0.8545,0.017464
295923,595,-47.40,0.8532,0.008609
298423,600,-47.80,0.8520,0.011126
300923,605,-47.80,0.8507,0.026261
303423,610,-47.60,0.8495,0.021864
305923,615,-46.70,0.8483,0.011807
308423,620,-69.40,0.8470,0.006468
310923,625,-128.50,0.8458,0.015938
313423,630,-93.90,0.8445,0.014662
315796,635,-47.00,0.8434,0.028044
318175,640,-92.10,0.8422,0.016897
320675,645,-140.40,0.8409,0.008446
323175,650,-67.40,0.8397,0.019316
325675,655,-73.90,0.8385,0.012138
328175,660,-47.00,0.8372,0.016838
330675,665,-58.50,0.8360,0.006064
333175,670,-83.60,0.8347,0.016098
335675,675,-163.70,0.8335,0.012209
338175,680,-81.80,0.8323,0.015400
339846,685,-0.10,0.8314,0.014853
341930,690,-243.30,0.8304,0.026063
344430,695,-68.20,0.8292,0.022123
346474,700,-1.20,0.8281,0.049646
348974,705,-47.90,0.8269,0.009804
351452,710,-48.30,0.8257,0.030702
353952,715,-82.60,0.8244,0.040939
356389,720,-51.70,0.8232,0.015353
358889,725,-47.90,0.8220,0.016901
361389,730,-145.40,0.8208,0.003158
363889,735,-118.80,0.8195,0.043826
366389,740,-55.00,0.8183,0.018979
368889,745,-46.90,0.8170,0.024005
371389,750,-175.50,0.8158,0.031085
373889,755,-84.50,0.8146,0.015831
376389,760,-87.00,0.8133,0.031814
378889,765,-47.30,0.8121,0.027762
381389,770,-73.90,0.8108,0.030355
383889,775,-128.90,0.8096,0.032359
386389,780,-66.90,0.8084,0.022424
388889,785,-100.10,0.8071,0.033507
391389,790,-97.40,0.8059,0.014708
393692,795,-46.70,0.8047,0.019388
395965,800,-55.60,0.8036,0.017310
398465,805,-82.70,0.8024,0.014409
400965,810,-101.70,0.8011,0.002697
403465,815,-46.00,0.7999,0.001637
405965,820,-134.90,0.7986,0.008753
408465,825,-79.70,0.7974,0.008829
410965,830,-92.00,0.7962,0.013030
413465,835,-48.80,0.7949,0.010146
415965,840,-104.60,0.7937,0.028118
418465,845,-61.40,0.7924,0.009100
420965,850,-86.30,0.7912,0.003648
423465,855,-101.50,0.7900,0.013905
425965,860,-47.30,0.7887,0.006884
428026,865,-59.60,0.7877,0.022566
430526,870,-114.30,0.7865,0.013429
433026,875,-131.10,0.7852,0.012228
435526,880,-87.50,0.7840,0.009186
437736,885,-60.80,0.7829,0.010467
440236,890,-50.80,0.7816,0.017603
442736,895,-99.90,0.7804,0.017152
445236,900,-217.80,0.7792,0.004213
447736,905,-75.60,0.7779,0.019520
450236,910,-56.90,0.7767,0.014011
452736,915,-66.80,0.7754,0.018119
455236,920,-96.50,0.7742,0.019358
457736,925,-168.60,0.7730,0.007291
460236,930,-70.50,0.7717,0.017674
462736,935,-96.90,0.7705,0.028432
465236,940,-171.40,0.7692,0.001721
467736,945,-132.20,0.7680,0.011138
470236,950,-146.90,0.7668,0.002409
472736,955,-161.10,0.7655,0.024638
475236,960,-46.70,0.7643,0.024836
477736,965,-172.60,0.7630,0.003605
480236,970,-47.20,0.7618,0.020022
482736,975,-115.30,0.7606,0.012311
485236,980,-47.30,0.7593,0.013971
487736,985,-80.10,0.7581,0.017310
490236,990,-47.20,0.7568,0.008272
492736,995,-119.10,0.7556,0.007327
494842,1000,-6.40,0.7546,0.008559
497342,1005,-47.30,0.7533,0.020287
499842,1010,-286.30,0.7521,0.002699
502342,1015,-66.80,0.7508,0.005890
504842,1020,-47.90,0.7496,0.009820
507342,1025,-74.00,0.7484,0.008123
509842,1030,-142.40,0.7471,0.004842
512342,1035,-169.50,0.7459,0.008905
514630,1040,-45.30,0.7447,0.019279
517130,1045,-58.40,0.7435,0.008383
519630,1050,-90.20,0.7423,0.017401
522064,1055,-112.40,0.7411,0.011251
524564,1060,-45.80,0.7398,0.004280
527064,1065,-128.00,0.7386,0.003164
529564,1070,-54.70,0.7373,0.010804
532064,1075,-75.20,0.7361,0.003129
534335,1080,-38.10,0.7350,0.008699
536835,1085,-46.90,0.7337,0.008672
539319,1090,-48.50,0.7325,0.008187
541819,1095,-54.00,0.7313,0.016183
544319,1100,-83.60,0.7300,0.009457
546819,1105,-101.10,0.7288,0.010258
549319,1110,-142.30,0.7275,0.005901
551819,1115,-89.00,0.7263,0.001494
554319,1120,-58.00,0.7251,0.005276
556819,1125,-153.20,0.7238,0.007796
559319,1130,-92.00,0.7226,0.009705
561516,1135,-136.00,0.7215,0.007087
564016,1140,-47.50,0.7202,0.000565
566516,1145,-57.80,0.7190,0.010317
569016,1150,-62.30,0.7178,0.008494
571516,1155,-67.50,0.7165,0.004900
574016,1160,-158.70,0.7153,0.005938
576516,1165,-56.50,0.7140,0.001172
579016,1170,-47.20,0.7128,0.007973
581516,1175,-95.50,0.7116,0.004075
584016,1180,-103.60,0.7103,0.003528
586440,1185,-166.30,0.7091,0.003089
588940,1190,-66.30,0.7079,0.001586
591440,1195,-47.40,0.7066,0.000751
593898,1200,-76.70,0.7054,0.003228
596398,1205,-103.30,0.7042,0.002455
598488,1210,-129.50,0.7031,0.008652
600988,1215,-111.10,0.7019,0.003181
603488,1220,-55.30,0.7007,0.002517
605988,1225,-89.30,0.6994,0.000894
608488,1230,-79.10,0.6982,0.001031
610988,1235,-99.20,0.6969,0.001442
613488,1240,-113.10,0.6957,0.000939
615988,1245,-113.80,0.6945,0.000819
618085,1250,-91.10,0.6934,0.003372
620585,1255,-87.40,0.6922,0.003255
623085,1260,-129.50,0.6909,0.001627
625456,1265,-62.90,0.6898,0.002204
627956,1270,-115.60,0.6885,0.000726
630456,1275,-50.40,0.6873,0.003431
632956,1280,-47.90,0.6861,0.004628
635456,1285,-91.90,0.6848,0.004743
637956,1290,-57.60,0.6836,0.001247
640373,1295,-47.50,0.6824,0.000687
642873,1300,-81.20,0.6811,0.002872
644992,1305,-72.70,0.6801,0.002696
647492,1310,-94.70,0.6788,0.006165
649992,1315,-123.20,0.6776,0.003546
652492,1320,-136.10,0.6764,0.000864
